Course_#,Course_Name,Latitude,Longitude,TimeZone
6,Waialae CC,21.270883,-157.776195,10
656,Plantation Course at Kapalua,21.007104,-156.641127,10
716,Shaughnessy G&CC,49.233298,-123.210176,7
717,Harding Park GC,37.724119,-122.492396,7
717,TPC Harding Park,37.724119,-122.492396,7
552,Silverado CC (North),38.348429,-122.263275,7
552,Silverado Resort and Spa North,38.348429,-122.263275,7
205,Spyglass Hill GC,36.58409,-121.955754,7
5,Pebble Beach GL,36.569056,-121.950613,7
769,Monterey Peninsula CC,36.602084,-121.948016,7
530,Poppy Hills,36.582593,-121.938404,7
775,CordeValle GC,37.06654,-121.636604,7
660,Montreux G&CC,39.362988,-119.829664,7
500,Riviera CC,34.047999,-118.500447,7
609,Annandale GC,34.144451,-118.173036,7
104,Torrey Pines (North),32.902007,-117.250405,7
4,Torrey Pines GC (South),32.899413,-117.245566,7
302,Tamarisk CC,33.775021,-116.430983,7
723,The Classic Club,33.788138,-116.341448,7
2,Indian Wells CC,33.71354,-116.32601,7
202,La Quinta CC,33.68733,-116.306915,7
102,Bermuda Dunes CC,33.740857,-116.28415,7
741,Silver Rock,33.666804,-116.280707,7
233,PGA West (Tournament),33.64384,-116.269531,7
233,Nicklaus Tournament Course,33.64384,-116.269531,7
649,PGA West (Palmer),33.641686,-116.25858,7
763,PGA West (Nicklaus),33.64042,-116.257504,7
704,PGA WEST TPC Stadium Course,33.64232,-116.256388,7
704,Stadium Course,33.64232,-116.256388,7
712,Bear's Best,36.120934,-115.340377,7
681,TPC Canyons,36.177534,-115.312665,7
538,TPC Summerlin,36.174613,-115.310615,7
670,Southern Highlands GC,35.975931,-115.193452,7
510,TPC Scottsdale,33.640584,-111.908871,6
713,Grayhawk GC (Raptor),33.678541,-111.896355,6
101,Tucson National GC,32.357818,-111.022953,6
505,Cherry Hills CC,39.643117,-104.963262,6
56,Castle Pines GC,39.437217,-104.895281,6
240,Club de Golf Chapultepec,19.432,-99.24364,5
625,LaCantera GC (Resort),29.609598,-98.637826,5
770,TPC San Antonio,29.664626,-98.398471,5
770,JW Marriott TPC San Antonio,29.662929,-98.397987,5
770,TPC San Antonio - AT&T Oaks,29.662929,-98.397987,5
185,Austin Country Club,30.342691,-97.796337,5
21,Colonial CC,32.717067,-97.373902,5
613,Cottonwood Valley GC,32.865939,-96.965643,5
822,TPC Four Seasons Resort,32.863382,-96.956394,5
19,TPC Four Seasons Resort,32.864733,-96.956005,5
643,Champions GC,29.985672,-95.528861,5
729,Redstone GC (Tournament),29.918361,-95.262193,5
729,GC of Houston,29.918361,-95.262193,5
699,Redstone GC (Fall Creek),29.924262,-95.256733,5
690,Hazeltine National GC,44.832003,-93.584347,5
534,Bellerive CC,38.659547,-90.485116,5
669,TPC Deere Run,41.478359,-90.389738,5
714,TPC Louisiana,29.898336,-90.195161,5
746,CC of Jackson,32.396254,-90.094142,5
